sample_id,row_index,audio_column,transcript,n_segments,top_segment_idx,random_segment_idx,top_segment_token,random_segment_token,top_abs_sv,top_sv,original_similarity,top_similarity,random_similarity,top_drop,random_drop,drop_difference,top_start_sec,top_end_sec,random_start_sec,random_end_sec,mask_duration_sec,runtime_sec
30,30,audio__male,Where is Flanders?,3,1,0,is,Where,0.3827883899211883,0.3827883899211883,1.0,0.2717624306678772,0.2768272161483764,0.7282375693321228,0.7231727838516235,0.0050647854804992,0.4045416666666667,0.5057083333333333,0.142,0.2431666666666666,0.1011666666666666,2.0950058909947984
31,31,audio__male,When was the surrender of Japan signed?,7,1,0,was,When,0.2119758035987615,0.2119758035987615,1.0,0.3347355723381042,0.6624101400375366,0.6652644276618958,0.3375898599624634,0.3276745676994324,0.3225416666666666,0.4435,0.0960833333333333,0.2170416666666666,0.1209583333333333,1.865232900949195
32,32,audio__male,Can the African forest elephant help in the medical world?,10,4,1,elephant,the,0.1555312369018793,0.1555312369018793,1.0000001192092896,0.1512371003627777,0.2152785956859588,0.8487630188465118,0.7847215235233307,0.0640414953231811,1.386625,1.72825,0.2310833333333333,0.5727083333333334,0.341625,1.93880032596644
33,33,audio__male,"When was Albany, NY established?",5,1,0,was,When,0.2251875158399343,0.2251875158399343,1.0,0.3672736883163452,0.2448188215494156,0.6327263116836548,0.7551811784505844,-0.1224548667669296,0.3231666666666666,0.444375,0.09125,0.2124583333333333,0.1212083333333333,2.136916355986614
34,34,audio__male,When was the Romantic period in classical music?,8,4,1,period,was,0.2180994665250182,0.2180994665250182,1.0,0.319911926984787,0.2270312309265136,0.680088073015213,0.7729687690734863,-0.0928806960582733,1.12725,1.526166666666667,0.1820833333333333,0.581,0.3989166666666666,1.9594114900100976
35,35,audio__male,Where is Adelaide located?,4,1,0,is,Where,0.419387899339199,0.419387899339199,1.0,0.8191288709640503,0.485155314207077,0.1808711290359497,0.514844685792923,-0.3339735567569732,0.3640416666666666,0.4247083333333333,0.1571666666666666,0.2178333333333333,0.0606666666666666,1.9457856889930556
36,36,audio__male,What's the minor league in baseball called?,7,1,2,the,minor,0.2005105353891849,0.2005105353891849,1.000000238418579,0.4833587408065796,0.2861567735671997,0.5166414976119995,0.7138434648513794,-0.1972019672393798,0.4037916666666666,0.4845416666666666,0.641,0.72175,0.08075,1.9424919330049304
37,37,audio__male,What if humanity were actually evil and exclusive?,8,2,1,humanity,if,0.1734489034861326,0.1734489034861326,1.000000238418579,0.1355366110801696,0.0620577484369277,0.8644636273384094,0.9379424899816512,-0.0734788626432418,0.4636666666666666,0.9475,0.1410833333333333,0.6249166666666667,0.4838333333333333,1.8569856279646049
38,38,audio__male,How provinces are there in China?,6,1,0,provinces,How,0.3769015446305275,0.3769015446305275,1.0,0.0761177539825439,0.3815597891807556,0.923882246017456,0.6184402108192444,0.3054420351982116,0.352,0.823125,0.0,0.471125,0.471125,1.818362688005436
39,39,audio__male,How does metabolism work?,4,1,0,does,How,0.383527148514986,0.383527148514986,1.0,0.209175705909729,0.209175705909729,0.790824294090271,0.790824294090271,0.0,0.3430833333333333,0.4843333333333333,0.1315416666666666,0.2727916666666666,0.14125,1.8367091169930063
40,40,audio__male,What is the most valuable comic book?,7,4,5,valuable,comic,0.1596852950751781,0.1596852950751781,1.0,0.098471999168396,0.1256100088357925,0.901528000831604,0.8743899911642075,0.0271380096673965,0.8488333333333333,1.3136666666666668,1.2919166666666666,1.75675,0.4648333333333333,1.8972801390336824
41,41,audio__male,Why hyperkalemia causes paralysis?,4,0,3,Why,paralysis?,0.4333484694361686,0.4333484694361686,1.000000238418579,0.1384087204933166,0.3014865219593048,0.8615915179252625,0.6985137164592743,0.1630778014659881,0.0807083333333333,0.3415416666666667,1.891375,2.1522083333333333,0.2608333333333333,1.8668461610213851
42,42,audio__male,When was cricket invented?,4,1,3,was,invented?,0.3095365688204765,0.3095365688204765,1.0,0.3149457275867462,0.295490562915802,0.6850542724132538,0.704509437084198,-0.0194551646709442,0.3425,0.463375,1.1985,1.319375,0.120875,1.923815828980878
43,43,audio__male,When did Sardinia become part of Italy?,7,5,4,of,part,0.1805905103683471,0.1805905103683471,1.0,0.1420802325010299,0.2554850578308105,0.85791976749897,0.7445149421691895,0.1134048253297805,1.7135833333333332,1.7635833333333333,1.5272916666666667,1.5772916666666668,0.05,1.9055752469575964
44,44,audio__male,Digital transformation project plan example,5,3,2,plan,project,0.3304273332469165,0.3304273332469165,1.0,0.0924915373325347,0.2196817696094513,0.9075084626674652,0.7803182303905487,0.1271902322769165,1.8345416666666667,2.116791666666667,1.4414166666666666,1.723666666666667,0.28225,1.9762028649565764
45,45,audio__male,List of former airlines,4,1,3,of,airlines,0.2975882813334465,0.2975882813334465,1.0,0.1522868573665619,0.1522868573665619,0.8477131426334381,0.8477131426334381,0.0,0.422875,0.4832916666666667,1.2079583333333332,1.268375,0.0604166666666666,2.100053286005277
46,46,audio__male,Give me a philosophical argument against anti-pornography,7,4,5,argument,against,0.2264406643807888,0.2264406643807888,1.0,0.0602943710982799,0.0807676836848259,0.93970562890172,0.919232316315174,0.0204733125865459,1.272875,1.723875,1.708875,2.159875,0.451,2.156210626999382
47,47,audio__male,Who runs the Catholic Church?,5,4,2,Church?,the,0.2288323417305946,0.2288323417305946,1.0,0.2035042196512222,0.1689929068088531,0.7964957803487778,0.8310070931911469,-0.034511312842369,1.2320416666666667,1.6958333333333333,0.4548333333333333,0.918625,0.4637916666666666,1.8662185579887591
48,48,audio__male,In what genres does the series Manifest fall?,8,6,4,Manifest,the,0.1681588012725114,0.1681588012725114,1.0000001192092896,0.123104877769947,0.1865862011909485,0.8768952414393425,0.8134139180183411,0.0634813234210014,1.6563333333333334,2.1679166666666667,0.8685,1.380083333333333,0.5115833333333333,1.8940384989837185
49,49,audio__male,Who discovered infrared light?,4,0,3,Who,light?,0.3246204890310764,0.3246204890310764,1.0000001192092896,0.1229351982474327,0.0976640731096267,0.8770649209618568,0.9023360460996628,-0.0252711251378059,0.0812916666666666,0.3025416666666666,1.4420833333333334,1.663333333333333,0.22125,1.8836744939908383
